quote,date,place,occasion,publish,remarks
"We're all fighting battles, but I love fighting these battles.",,,,,
We're going to be the best in the world at infrastructure.,,,,,
We're going to protect our workers and bring jobs back to America.,,,,,
We're going to win at space.,,,,,
"We're rounding 'em up in a very humane way, in a very nice way. And they're going to be happy because they want to be legalized. And, by the way, I know it doesn't sound nice. But not everything is nice.",2015.10.27,,,60 Minutes,
"Well, if I ever ran for office, I'd do better as a Democrat than as a Republican - and that's not because I'd be more liberal, because I'm conservative. But the working guy would elect me. He likes me. When I walk down the street, those cabbies start yelling out their windows.",1990.03,,,Playboy,
"What a crowd, what a turnout.",2017.08.29,Texas,,,
"What I won't do is take in two hundred thousand Syrians who could be ISIS... I have been watching this migration. And I see the people. I mean, they're men. They're mostly men, and they're strong men. These are physically young, strong men. They look like prime-time soldiers. Now it's probably not true, but where are the women?... So, you ask two things. Number one, why aren't they fighting for their country? And number two, I don't want these people coming over here.",2015.10.11,,,Face the Nation,
"What matters is not how you brand, but how you market your brand.",,,,,
"What my father gave me more than anything else is great tutoring and a great brain, frankly. You know, my father's brother was a top person at MIT, went to MIT, graduated from MIT, was a teacher at MIT, a professor at MIT, a great engineer. I mean, you know, I have very good genes.",,,,,
What separates the winners from the losers is how a person reacts to each new twist of fate.,,,,,
"What you're seeing and what you're reading is not what's happening,",2018.07.24,,,,
What's happening is a disgrace.,,,,,A Republican President offers his thoughts on his own Justice Department.
"When Mexico sends its people, they're not sending their best.",,,,,
"When somebody challenges you, fight back. Be brutal, be tough.",,,,,
"When you open your heart to patriotism, there is no room for prejudice. The Bible tells us, 'How good and pleasant it is when God's people live together in unity.'",,,,,
"When you see the other side chopping off heads, waterboarding doesn't sound very severe.",2016.08.02,,,This Week with George Stephanopoulos,
"When you're a star, they let you do it. You can do anything.",,,,,
"While @BetteMidler is an extremely unattractive woman, I refuse to say that because I always insist on being politically correct.",2012.10.28,,,Twitter,
Why are we having all these people from shithole countries come here?,,,,,
Why are we having all these people from shithole countries coming here?,2018.01.11,,White House meeting,,
"Why do you have to lose something to gain millions? This sounds like something created by a really, really dumb person.",,,,,
"Why would Kim Jong-un insult me by calling me 'old,' when I would NEVER call him 'short and fat?' Oh well, I try so hard to be his friend - and maybe someday that will happen!",2017.11.11,,,Twitter,
"Without passion, you don't have energy. Without energy, you have nothing.",,,,,
"Without Twitter, I'm not sure where we'd be as a nation.",,,,,
You are somewhat more traditional politicians (than me).,,,,,
You can't get rich if you're afraid to take risks.,,,,,
You could see there was bloody coming out of her eyes. Blood coming out of her wherever.,2015.08.08,,,CNN,Trump on Megyn Kelly
You ever have second thoughts about something?,,,,,
"You go to the hospital. You have a broken arm. You come out, you are a drug addict with this crap.",,,,,
You have to see yourself as a winner if you want to be a winner.,,,,,
"You have to think anyway, so why not think big?",,,,,
"You know the funny thing, I don't get along with rich people. I get along with the middle class and the poor people better than I get along with the rich people.",,,,,
"You know, I go to Washington and I see all these politicians, and I see the swamp. And it's not a good place. In fact today I said we ought to change it from the word swamp to the word cesspool or, perhaps, to the word sewer.",2017.07.24,,,National Scout Jamboree,
"You know, I was dealt a lot of bad hands.",,,,,
"You know, with Biden, you go like this – whew – and he goes down.",,,,,No big deal! Just the President of the United States saying he would knock out the former vice president of the United States with one punch!
You learn a lot through social media and through observing and from the big screen.,,,,,
You're disgusting.,2015.07.28,,,New York Times,Trump on breastfeeding mothers
You're going to be successful. Were going to make America great again.,,,,,
Your brand is your reputation. Build it wisely.,,,,,
"Your business, and your brand, must first let people know what you do, and then you must tell them why you are better than the competition.",,,,,
